sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2003","2003",120.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2004","2004",116.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2005","2005",128.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2006","2006",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2007","2007",134.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2008","2008",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2009","2009",136.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2010","2010",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2011","2011",133.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2012","2012",137,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","CZE","Czech Republic","2013","2013",137.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2000","2000",134,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2001","2001",135.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2002","2002",130.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2003","2003",130.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2004","2004",133.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2005","2005",137.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2006","2006",130.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2007","2007",130.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2008","2008",127.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2009","2009",131.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2010","2010",130.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2011","2011",131.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2012","2012",134.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","DNK","Denmark","2013","2013",134.5,,
